sym,has_night,night_start,night_end,n_night_bar,in_pool
A,True,21:00,23:00,57717,True
AG,True,21:00,02:30,157887,True
AL,True,21:00,01:00,114957,True
AO,False,,,0,True
AP,False,,,0,True
AU,True,21:00,02:30,157887,True
B,True,21:00,23:00,57717,True
BB,False,,,0,True
BC,True,21:00,01:00,114957,True
BR,False,,,0,True
BU,True,21:00,23:00,57717,True
C,True,21:00,23:00,57717,True
CF,True,21:00,23:00,57717,True
CJ,False,,,0,True
CS,True,21:00,23:00,57717,True
CU,True,21:00,01:00,114957,True
CY,True,21:00,23:00,57717,True
EB,True,21:00,23:00,57717,True
EC,False,,,0,True
EG,True,21:00,23:00,57717,True
FB,False,,,0,True
FG,True,21:00,23:00,57717,True
FU,True,21:00,23:00,57717,True
HC,True,21:00,23:00,57717,True
I,True,21:00,23:00,57717,True
IC,False,,,0,True
IF,False,,,0,True
IH,False,,,0,True
IM,False,,,0,True
J,True,21:00,23:00,57717,True
JD,False,,,0,True
JM,True,21:00,23:00,57717,True
JR,False,,,0,False
L,True,21:00,23:00,57717,True
LC,False,,,0,True
LH,False,,,0,True
LR,False,,,0,False
LU,True,21:00,23:00,57717,True
M,True,21:00,23:00,57717,True
MA,True,21:00,23:00,57717,True
NI,True,21:00,01:00,114957,True
NR,True,21:00,23:00,57717,True
OI,True,21:00,23:00,57717,True
P,True,21:00,23:00,57717,True
PB,True,21:00,01:00,114957,True
PF,True,21:00,23:00,57717,True
PG,True,21:00,23:00,57717,True
PK,False,,,0,True
PM,False,,,0,False
PP,True,21:00,23:00,57717,True
PX,False,,,0,True
RB,True,21:00,23:00,57717,True
RI,False,,,0,False
RM,True,21:00,23:00,57717,True
RR,True,21:00,23:00,57717,True
RS,False,,,0,False
RU,True,21:00,23:00,57717,True
SA,True,21:00,23:00,57717,True
SC,True,21:00,02:30,157887,True
SF,False,,,0,True
SH,False,,,0,True
SI,False,,,0,True
SM,False,,,0,True
SN,True,21:00,01:00,114957,True
SP,True,21:00,23:00,57717,True
SR,True,21:00,23:00,57717,True
SS,True,21:00,01:00,114957,True
T,False,,,0,True
TA,True,21:00,23:00,57717,True
TF,False,,,0,True
TL,False,,,0,True
TS,False,,,0,True
UR,False,,,0,True
V,True,21:00,23:00,57717,True
WH,False,,,0,False
WR,False,,,0,True
Y,True,21:00,23:00,57717,True
ZC,True,21:00,23:00,114950,False
ZN,True,21:00,01:00,114957,True
